Mouse,UniqueID,DateVR,CellNum,SessionVR,SessionTypeVR,Cell,DateOF,BoxSize,Tetrode,Cluster,SessionTypeOF,SessionOF,MeanRateOF,GridScore,CoherenceOF,StabilityOF,MVL,Coverage,BorderScore,SpeedScore,FieldSpacingOF,FieldSizeOF,MeanRateOF_SpeedFilt,PeakRateOF
Kesha,Kesha33,11/13/2015,33,1113_halfspeed_1,gain_manip,T1C1,11/13/2015,91.4,1,1,noobject1,Z:\Users\MCampbell\Analysis\Kesha\OF\databaseFiles\Kesha\OF\1113_5+_4+_3+_2+_1,1.065,0.4526,0.053,0.02,0.024,95.8,0.502,0.046166026,30.78,9.233,1.13,1.95
Beyonce,Beyonce147,11/01/2015,147,1101_halfspeed_1,gain_manip,T2C7,11/02/2015,91.4,2,7,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1102_5+_4+_2+_1,1.724,0.4431,0.412,0.256,0.098,91.29,0.155,0.122623142,57.17,15.983,1.96,8.534
Christina,Christina48,09/02/2016,48,0902_halfspeed_1,gain_manip,T1C1,09/02/2016,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0902_2+_1,3.62,0.4398,0.399,0.258,0.495,89.11,0.061,0.157993897,30.03333333,12.195,4.187,26.8
LilKim,LilKim132,12/05/2015,132,1205_halfspeed_1,gain_manip,T2C1,12/05/2015,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1205_6+_5+_4+_3+_2+_1,1.629,0.4393,0.299,0.271,0.215,89.48,-0.044,0.013740141,50.64333333,11.679,1.616,5.986
JLo,JLo2,08/03/2016,2,0803_halfspeed_1,gain_manip,T2C1,08/04/2016,62,2,1,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0804_4+_2+_1,4.05,0.4337,0.186,0.375,0.048,98.56,0.499,0.146743959,45.97,12.82,4.181,6.519
JLo,JLo14,08/08/2016,14,0808_halfspeed_1,gain_manip,T2C2,08/08/2016,62,2,2,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0808_2+_1,0.166,0.4286,0.711,0.44,0.207,99.2,-0.022,0.125755857,29.73666667,10.742,0.189,1.611
Barbara,Barbara65,05/08/2015,65,0508_halfspeed_1,gain_manip,T2C5,05/09/2015,90,2,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0509_4+_3+_2+_1,1.453,0.4239,0.286,0.296,0.027,81.19,0.488,0.161880908,34.04,9.987,1.61,4.014
Daenerys,Daenerys53,02/23/2016,53,0223_halfspeed_1,gain_manip,T2C1,02/23/2016,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0223_3+_2+_1,1.122,0.4144,0.786,0.857,0.188,94.59,0.287,0.022354992,52.58,18.008,1.221,26.075
Daenerys,Daenerys35,02/15/2016,35,0215_halfspeed_1,gain_manip,T1C5,02/15/2016,91.4,1,5,noobject2-tangled,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0215_noobject_2+_1,1.168,0.4136,0.28,0.223,0.019,97,0.485,0.044779364,44.45333333,12.195,1.205,2.82
JLo,JLo3,08/03/2016,3,0803_halfspeed_1,gain_manip,T1C1,08/03/2016,62,1,1,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0803_2,0.711,0.4107,0.692,0.514,0.091,99.68,0.023,0.016030967,34.10666667,11.054,0.862,2.663
