Mouse,UniqueID,DateVR,CellNum,SessionVR,SessionTypeVR,Cell,DateOF,BoxSize,Tetrode,Cluster,SessionTypeOF,SessionOF,MeanRateOF,GridScore,CoherenceOF,StabilityOF,MVL,Coverage,BorderScore,SpeedScore,FieldSpacingOF,FieldSizeOF,MeanRateOF_SpeedFilt,PeakRateOF
Erykah,Erykah56,07/22/2015,56,0722_halfspeed_1,gain_manip,T1C3,07/22/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Erykah\OF\databaseFiles\Erykah\OF\0722_4+_3+_2+_1,0.749,-0.1631,0.429,0.359,0.285,82.87,-0.083,0.029292274,58.50666667,20.417,0.792,4.993
Christina,Christina22,08/25/2016,22,0825_halfspeed_1,gain_manip,T2C3,08/25/2016,62,2,3,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0825_third_1,1.835,-0.1637,0.119,0.275,0.162,95.5,0.424,-0.003617944,26.89,9.987,1.637,3.757
Kesha,Kesha66,12/02/2015,66,1202_halfspeed_1,gain_manip,T2C4,12/02/2015,91.4,2,4,noobject2,Z:\Users\MCampbell\Analysis\Kesha\OF\databaseFiles\Kesha\OF\1202_noobject_2+_1,2.973,-0.1647,0.569,0.57,0.192,94.97,0.514,0.024783152,46.16,19.733,3.028,14.273
Beyonce,Beyonce141,10/31/2015,141,1031_halfspeed_1,gain_manip,T2C7,10/31/2015,91.4,2,7,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1031_2+_1,1.581,-0.1701,0.336,0.515,0.039,96.4,0.429,-0.003118709,45.69,26.359,1.578,3.481
Beyonce,Beyonce17,09/21/2015,17,0921_halfspeed_1,gain_manip,T2C2,09/21/2015,91.4,2,2,noobject1,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\0921_4+_3+_2+_1,0.105,-0.1732,0.101,-0.006,0.24,95.03,0.464,0.061372112,31.12,11.311,0.088,0.528
Christina,Christina21,08/25/2016,21,0825_halfspeed_1,gain_manip,T2C2,08/25/2016,62,2,2,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0825_third_1,0.382,-0.1752,0.244,0.315,0.23,95.5,0.285,0.037783369,40.71666667,21.097,0.42,1.55
LilKim,LilKim37,11/12/2015,37,1112_halfspeed_1,gain_manip,T2C1,11/12/2015,91.4,2,1,noobject1,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1112_7+_6+_5+_4,0.245,-0.1784,0.393,0.158,0.042,92.34,-0.258,0.051522312,32.97666667,10.742,0.403,3.05
LilKim,LilKim119,12/04/2015,119,1203_halfspeed_1,gain_manip,T2C3,12/04/2015,91.4,2,3,normal,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1204_6+_5+_4,0.672,-0.1791,0.353,0.127,0.128,90.09,0.397,0.03985886,44.12,14.66,0.84,4.645
Rihanna,Rihanna1,11/09/2015,1,1109_halfspeed_1,gain_manip,T2C1,11/06/2015,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Rihanna\OF\databaseFiles\Rihanna\OF\1106_4+_3+_2+_1,1.84,-0.1791,0.262,0.227,0.163,78.38,0.521,0.083601106,37.87333333,12.304,2.678,10.849
Rihanna,Rihanna9,11/09/2015,9,1109_halfspeed_1,gain_manip,T1C5,11/09/2015,91.4,1,5,normal,Z:\Users\MCampbell\Analysis\Rihanna\OF\databaseFiles\Rihanna\OF\1109_9+_8+_7+_6+_5+_4+_3+_2+_1,2.039,-0.1793,0.187,0.373,0.09,92.04,0.094,-0.049829725,42.33333333,14.66,2.283,7.291
Erykah,Erykah62,07/22/2015,62,0722_halfspeed_1,gain_manip,T2C4,07/22/2015,90,2,4,normal,Z:\Users\MCampbell\Analysis\Erykah\OF\databaseFiles\Erykah\OF\0722_4+_3+_2+_1,1.763,-0.1905,0.294,0.298,0.056,82.87,0.5,0.168407752,55.88666667,22.37,1.849,8.623
Beyonce,Beyonce16,09/21/2015,16,0921_halfspeed_1,gain_manip,T2C1,09/21/2015,91.4,2,1,noobject1,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\0921_4+_3+_2+_1,5.312,-0.1911,0.167,0.102,0.128,95.03,0.504,0.308327063,44.75333333,12.066,6.939,12.389
Fiona,Fiona42,03/04/2016,42,0304_halfspeed_1,gain_manip,T1C3,03/04/2016,70,1,3,normal,Z:\Users\MCampbell\Analysis\Fiona\OF\databaseFiles\Fiona\OF\0304_3+_2+_1,0.591,-0.193,0.38,0.016,0.201,95.24,-0.021,0.00793605,43.58666667,12.691,0.672,3.289
Winehouse,Winehouse38,11/17/2015,38,1117_halfspeed_1,gain_manip,T2C1,11/17/2015,62,2,1,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1117_smallbox_5+_4+_3+_2+_1,4.463,-0.194,0.982,0.694,0.147,96,-0.073,0.106436064,32.31,11.883,5.139,22.506
Barbara,Barbara117,06/03/2015,117,0603_halfspeed_1,gain_manip,T2C1,06/03/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0603_7+_6+_5,3.503,-0.1958,0.458,0.367,0.103,87.06,0.049,0.202941546,37.53333333,11.054,3.905,22.081
LilKim,LilKim34,11/12/2015,34,1112_halfspeed_1,gain_manip,T1C2,11/12/2015,91.4,1,2,noobject1,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1112_7+_6+_5+_4,0.774,-0.2023,0.305,0.363,0.135,92.34,0.589,0.119618328,43.01333333,16.166,1.171,4.375
Beyonce,Beyonce47,09/29/2015,47,0929_halfspeed_1,gain_manip,T1C4,09/29/2015,91.4,1,4,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\0929_4+_3+_2+_1,3.298,-0.207,0.225,0.061,0.059,98.03,0.502,0.203745265,48.51333333,10.742,3.601,6.706
Beyonce,Beyonce112,10/28/2015,112,1028_halfspeed_1,gain_manip,T1C3,10/28/2015,91.4,1,3,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1027_7+_6+_5+_4+_3+_2+_1,33.12,-0.2105,0.469,0.63,0.031,81.01,0.459,0.078894374,83.59,30.221,36.934,63.09
Beyonce,Beyonce94,10/15/2015,94,1015_halfspeed_1,gain_manip,T1C1,10/15/2015,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1015_4+_3+_2+_1,4.911,-0.2116,0.63,0.095,0.027,95.54,-0.171,-0.038989876,71.44,16.608,5.067,22.566
Shakira,Shakira53,03/14/2016,53,0314_halfspeed_1,gain_manip,T1C5,03/14/2016,91.4,1,5,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0314_lowgain_6+_5+_4+_2+_1,2.064,-0.2156,0.675,0.603,0.132,95.27,0.565,-0.004329695,45.91666667,28.933,2.256,10.09
Winehouse,Winehouse28,11/16/2015,28,1116_halfspeed_1,gain_manip,T2C3,11/16/2015,91.4,2,3,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1116_7+_6+_5+_4+_3+_2+_1,4.884,-0.2189,0.709,0.478,0.066,88.66,0.202,0.224479684,51.52666667,13.648,6.422,21.69
Kesha,Kesha42,11/19/2015,42,1119_halfspeed_1,gain_manip,T2C2,11/19/2015,70,2,2,noobject2,Z:\Users\MCampbell\Analysis\Kesha\OF\databaseFiles\Kesha\OF\1119_noobject_smallbox_2+_1,6.849,-0.2199,0.356,0.072,0.08,99.23,0.469,0.055443899,42.37666667,15.836,7.299,13.611
LilKim,LilKim102,12/02/2015,102,1202_halfspeed_1,gain_manip,T1C3,12/02/2015,70,1,3,noobject1,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1202_smallbox_2,1.93,-0.2211,0.469,0.476,0.036,95.11,0.553,0.100245988,57.38666667,20.948,2.24,5.931
Fiona,Fiona51,03/07/2016,51,0307_halfspeed_1,gain_manip,T1C2,03/07/2016,70,1,2,noobject1,Z:\Users\MCampbell\Analysis\Fiona\OF\databaseFiles\Fiona\OF\0307_4+_3+_2+_1,0.342,-0.2249,0.184,-0.034,0.187,99.23,-0.143,-0.118933504,34.44666667,9.675,0.378,1.745
Winehouse,Winehouse32,11/17/2015,32,1117_halfspeed_1,gain_manip,T2C5,11/16/2015,62,2,5,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1116_smallbox_5+_4+_3+_2+_1,2.67,-0.2377,0.864,0.618,0.033,97.92,-0.431,0.097003271,37.02,14.035,3.036,17.618
Beyonce,Beyonce110,10/28/2015,110,1028_halfspeed_1,gain_manip,T1C1,10/28/2015,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1027_7+_6+_5+_4+_3+_2+_1,1.539,-0.2393,0.505,0.281,0.232,81.01,0.015,-0.035261335,70.25333333,15.983,1.884,7.155
Fiona,Fiona40,03/04/2016,40,0304_halfspeed_1,gain_manip,T1C2,03/04/2016,70,1,2,normal,Z:\Users\MCampbell\Analysis\Fiona\OF\databaseFiles\Fiona\OF\0304_3+_2+_1,15.931,-0.2408,0.837,0.351,0.028,95.24,0.386,-0.03949666,35.44333333,13.628,17.566,50.915
Ariana,Ariana67,08/30/2016,67,0830_halfspeed_1,gain_manip,T2C3,08/31/2016,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Ariana\OF\databaseFiles\Ariana\OF\0831_1,0.756,-0.2442,0.437,0.565,0.597,93.32,-0.938,0.209243751,69.24,21.667,0.859,9.139
LilKim,LilKim60,11/18/2015,60,1118_halfspeed_1,gain_manip,T2C1,11/18/2015,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1118_5+_4+_3+_2+_1,3.264,-0.2527,0.631,0.399,0.154,95.87,0.562,0.009853754,48.82666667,33.29,3.457,12.304
Madonna,Madonna10,03/06/2016,10,0306_halfspeed_1,gain_manip,T1C2,03/06/2016,70,1,2,normal,Z:\Users\MCampbell\Analysis\Madonna\OF\databaseFiles\Madonna\OF\0306_2+_1,0.395,-0.2531,0.288,0.697,0.365,93.75,0.503,0.088449346,43.62333333,21.428,0.442,3.206
Shakira,Shakira86,03/21/2016,86,0321_halfspeed_1,gain_manip,T1C3,03/21/2016,91.4,1,3,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0321_4+_3+_2+_1,0.474,-0.2532,0.483,-0.072,0.522,95.65,0.664,0.097938601,46.48666667,24.464,0.541,5.189
Shakira,Shakira90,03/21/2016,90,0321_halfspeed_1,gain_manip,T2C1,03/21/2016,91.4,2,1,noobject2,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0321_noobject_4+_3+_2+_1,0.597,-0.254,0.631,0.543,0.196,95.87,-1,0.125618923,50.92666667,17.437,0.835,11.224
Kesha,Kesha70,12/04/2015,70,1204_halfspeed_1,gain_manip,T2C1,12/04/2015,91.4,2,1,noobject2,Z:\Users\MCampbell\Analysis\Kesha\OF\databaseFiles\Kesha\OF\1204_noobject_4+_3+_2+_1,18.242,-0.2546,0.397,0.495,0.023,94.59,0.469,0.161660941,68.87333333,18.062,18.46,28.106
Shakira,Shakira44,03/11/2016,44,0311_halfspeed_1,gain_manip,T1C1,03/11/2016,91.4,1,1,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0311_3+_2+_1,0.892,-0.2579,0.268,0.333,0.096,97.01,-0.239,0.140931793,41.16333333,17.823,0.994,5.651
Aretha,Aretha108,08/10/2015,108,0810_halfspeed_1,gain_manip,T2C4,08/10/2015,90,2,4,normal,Z:\Users\MCampbell\Analysis\Aretha\OF\databaseFiles\Aretha\OF\0810_4+_3+_2+_1,2.116,-0.2596,0.674,0.518,0.179,94.44,0.139,0.139192757,80.31,34.304,2.254,11.101
Fiona,Fiona45,03/05/2016,45,0305_halfspeed_1,gain_manip,T2C1,03/05/2016,70,2,1,noobject2,Z:\Users\MCampbell\Analysis\Fiona\OF\databaseFiles\Fiona\OF\0305_noobject_1,3.98,-0.2633,0.608,0.546,0.278,98.47,0.393,0.073246374,51.31333333,17.693,4.163,11.974
Beyonce,Beyonce118,10/28/2015,118,1028_halfspeed_1,gain_manip,T2C6,10/28/2015,91.4,2,6,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1027_7+_6+_5+_4+_3+_2+_1,1.219,-0.2646,0.627,0.782,0.305,81.01,0.686,-0.037769918,54.43,27.718,1.08,7.692
LilKim,LilKim130,12/05/2015,130,1205_halfspeed_1,gain_manip,T1C1,12/05/2015,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1205_6+_5+_4+_3+_2+_1,2.406,-0.2659,0.506,0.251,0.051,89.48,-0.36,0.184631719,55.44,20.472,3.513,17.283
Barbara,Barbara95,06/02/2015,95,0602_halfspeed_1,gain_manip,T1C1,06/02/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0602_6+_5+_4+_3+_2+_1,12.787,-0.2663,0.359,0.268,0.054,94.6,0.478,0.342339172,53.07,18.448,15.251,33.494
Beyonce,Beyonce145,11/01/2015,145,1101_halfspeed_1,gain_manip,T2C5,11/01/2015,91.4,2,5,noobject1,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1101_5+_4+_3+_2+_1,4.244,-0.2688,0.441,0.501,0.073,93.47,0.262,0.126260453,57.55666667,15.285,4.48,14.588
Beyonce,Beyonce52,09/29/2015,52,0929_halfspeed_1,gain_manip,T1C6,09/29/2015,91.4,1,6,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\0929_4+_3+_2+_1,2.885,-0.2705,0.292,-0.088,0.152,98.03,0.492,-0.09539468,49.73666667,13.648,2.589,6.089
Kesha,Kesha56,11/24/2015,56,1124_halfspeed_1,gain_manip,T2C2,11/24/2015,70,2,2,noobject1,Z:\Users\MCampbell\Analysis\Kesha\OF\databaseFiles\Kesha\OF\1124_smallbox_3+_2+_1,0.33,-0.2721,0.477,NaN,0.161,96.43,-0.344,-0.093568328,46.42,12.691,0.336,1.925
Rihanna,Rihanna42,11/16/2015,42,1116_halfspeed_1,gain_manip,T2C2,11/16/2015,91.4,2,2,normal,Z:\Users\MCampbell\Analysis\Rihanna\OF\databaseFiles\Rihanna\OF\1116_1,0.611,-0.2729,0.324,0.124,0.177,90.39,0.298,0.148136233,55.20666667,20.472,0.82,5.76
Beyonce,Beyonce54,09/29/2015,54,0929_halfspeed_1,gain_manip,T1C8,09/29/2015,91.4,1,8,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\0929_4+_3+_2+_1,2.03,-0.2752,0.134,0.155,0.115,98.03,0.441,-0.004503836,29.86666667,11.054,1.952,4.699
Ariana,Ariana36,08/11/2016,36,0811_halfspeed_1,gain_manip,T2C3,08/11/2016,62,2,3,normal,Z:\Users\MCampbell\Analysis\Ariana\OF\databaseFiles\Ariana\OF\0811_1,1.46,-0.2771,1.044,0.662,0.058,96,0.486,0.063743294,52.09333333,16.113,1.545,5.085
Beyonce,Beyonce51,09/29/2015,51,0929_halfspeed_1,gain_manip,T2C3,09/29/2015,91.4,2,3,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\0929_4+_3+_2+_1,3.601,-0.2771,0.154,0.118,0.057,98.03,0.494,-0.117991002,42.53333333,12.508,3.352,5.538
Christina,Christina16,08/25/2016,16,0825_halfspeed_1,gain_manip,T1C1,08/25/2016,62,1,1,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0825_third_1,0.999,-0.2791,0.725,0.635,0.319,95.5,0.29,0.045404776,61.48666667,20.03,0.886,7.533
Daenerys,Daenerys34,02/15/2016,34,0215_halfspeed_1,gain_manip,T2C4,02/15/2016,91.4,2,4,noobject1,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0215_4,5.438,-0.2797,0.489,0.487,0.128,93.32,0.56,-0.234002179,75.27,23.963,3.379,10.825
Winehouse,Winehouse29,11/16/2015,29,1116_halfspeed_1,gain_manip,T2C4,11/16/2015,91.4,2,4,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1116_7+_6+_5+_4+_3+_2+_1,0.391,-0.2799,0.192,0.082,0.096,88.66,0.279,0.329791753,52.70666667,15.726,0.684,3.325
Beyonce,Beyonce146,11/01/2015,146,1101_halfspeed_1,gain_manip,T2C6,11/01/2015,91.4,2,6,noobject1,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1101_5+_4+_3+_2+_1,3.082,-0.2807,0.51,0.4,0.107,93.47,0.349,0.10383568,48.68666667,15.414,3.292,8.63
Beyonce,Beyonce85,10/14/2015,85,1014_halfspeed_1,gain_manip,T1C4,10/14/2015,91.4,1,4,noobject1,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1014_5,0.72,-0.2818,0.795,0.428,0.36,97.52,0.785,-0.03428993,38.17666667,17.233,0.629,5.385
Rihanna,Rihanna13,11/09/2015,13,1109_halfspeed_1,gain_manip,T1C9,11/09/2015,91.4,1,9,normal,Z:\Users\MCampbell\Analysis\Rihanna\OF\databaseFiles\Rihanna\OF\1109_9+_8+_7+_6+_5+_4+_3+_2+_1,0.923,-0.2869,0.329,0.348,0.093,92.04,0.512,0.038153838,42.18666667,11.054,1.244,8.174
Shakira,Shakira66,03/15/2016,66,0315_halfspeed_1,gain_manip,T2C3,03/15/2016,91.4,2,3,noobject2,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0315_noobject_aftertwohours_1,2.523,-0.2873,0.919,0.649,0.066,96.62,0.235,0.03225432,52.85,32.96,2.733,14.925
Fiona,Fiona46,03/05/2016,46,0305_halfspeed_1,gain_manip,T1C2,03/05/2016,70,1,2,noobject2,Z:\Users\MCampbell\Analysis\Fiona\OF\databaseFiles\Fiona\OF\0305_noobject_1,2.019,-0.2877,0.736,0.761,0.3,98.47,-0.276,-0.087780471,60.35333333,22.604,1.999,9.131
Beyonce,Beyonce103,10/22/2015,103,1022_halfspeed_1,gain_manip,T1C2,10/22/2015,91.4,1,2,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1022_4+_3+_2+_1,2.426,-0.2911,0.695,0.6,0.215,94.22,-0.056,0.168880715,58.66,22.475,2.708,14.736
Daenerys,Daenerys39,02/15/2016,39,0215_halfspeed_1,gain_manip,T2C7,02/15/2016,91.4,2,7,noobject1,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0215_4,9.646,-0.2921,0.543,0.378,0.027,93.32,0.497,0.594411282,57.86333333,18.394,15.614,34.447
Beyonce,Beyonce18,09/21/2015,18,0921_halfspeed_1,gain_manip,T2C3,09/21/2015,91.4,2,3,noobject1,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\0921_4+_3+_2+_1,3.414,-0.2958,0.156,0.125,0.106,95.03,0.474,0.125629005,27.62,10.742,3.888,7.555
Ariana,Ariana73,09/01/2016,73,0901_halfspeed_1,gain_manip,T2C1,09/01/2016,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Ariana\OF\databaseFiles\Ariana\OF\0901_1,19.18,-0.3018,0.153,0.265,0.058,88.96,0.485,0.379157962,41.65666667,14.952,21.387,31.239
LilKim,LilKim33,11/12/2015,33,1112_halfspeed_1,gain_manip,T1C1,11/12/2015,91.4,1,1,noobject1,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1112_7+_6+_5+_4,0.833,-0.3033,0.513,0.345,0.177,92.34,0.313,0.121826695,47.65,13.831,1.329,11.043
LilKim,LilKim93,12/01/2015,93,1201_halfspeed_1,gain_manip,T2C3,12/01/2015,70,2,3,noobject1,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1201_smallbox2_2,3.368,-0.3093,0.423,0.311,0.064,99.23,0.381,0.023887028,39.19,14.456,3.977,11.594
Erykah,Erykah134,08/05/2015,134,0805_halfspeed_1,gain_manip,T1C1,08/05/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Erykah\OF\databaseFiles\Erykah\OF\0805_6+_5+_4+_3,0.273,-0.3102,0.04,0.098,0.034,94.52,0.522,0.085502888,37.15333333,9.987,0.286,0.707
LilKim,LilKim137,12/05/2015,137,1205_halfspeed_1,gain_manip,T2C6,12/05/2015,91.4,2,6,normal,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1205_6+_5+_4+_3+_2+_1,1.261,-0.3115,0.223,0.266,0.09,89.48,-0.214,0.122795447,58.66666667,18.135,1.47,5.3
Kesha,Kesha55,11/24/2015,55,1124_halfspeed_1,gain_manip,T2C1,11/24/2015,70,2,1,noobject1,Z:\Users\MCampbell\Analysis\Kesha\OF\databaseFiles\Kesha\OF\1124_smallbox_3+_2+_1,3.524,-0.3125,1.066,0.858,0.211,96.43,-0.194,0.158238338,44.76666667,18.522,3.89,30.057
Beyonce,Beyonce115,10/28/2015,115,1028_halfspeed_1,gain_manip,T2C3,10/28/2015,91.4,2,3,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1027_7+_6+_5+_4+_3+_2+_1,0.715,-0.3161,0.596,0.542,0.145,81.01,-0.075,0.11920419,55.64333333,18.265,0.892,12.366
Kesha,Kesha75,12/04/2015,75,1204_halfspeed_1,gain_manip,T2C6,12/04/2015,91.4,2,6,noobject2,Z:\Users\MCampbell\Analysis\Kesha\OF\databaseFiles\Kesha\OF\1204_noobject_4+_3+_2+_1,2.522,-0.3176,0.558,0.617,0.179,94.59,0.43,0.107768242,57.77333333,20.765,2.682,8.511
JLo,JLo12,08/08/2016,12,0808_halfspeed_1,gain_manip,T1C1,08/08/2016,62,1,1,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0808_2+_1,2.888,-0.3193,1.036,0.775,0.182,99.2,-0.027,0.119230375,36.58,11.054,3.177,13.191
Erykah,Erykah51,07/21/2015,51,0721_halfspeed_1,gain_manip,T2C1,07/21/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Erykah\OF\databaseFiles\Erykah\OF\0721_1,4.934,-0.324,0.692,0.555,0.023,93.13,0.325,0.206105815,73.76333333,20.988,5.144,19.928
Barbara,Barbara85,05/26/2015,85,0526_halfspeed_1,gain_manip,T1C2,05/26/2015,90,1,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0526_second_4+_3+_2,9.493,-0.3266,0.183,0.396,0.02,87.38,0.438,0.20718383,57.09666667,21.042,9.663,19.343
Fiona,Fiona30,03/01/2016,30,0301_halfspeed_1,gain_manip,T1C1,03/01/2016,70,1,1,normal,Z:\Users\MCampbell\Analysis\Fiona\OF\databaseFiles\Fiona\OF\0301_2+_1,1.873,-0.3269,0.557,0.501,0.089,96.3,0.455,0.017536309,40.60333333,14.843,1.893,6.226
Beyonce,Beyonce139,10/31/2015,139,1031_halfspeed_1,gain_manip,T2C5,10/31/2015,91.4,2,5,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1031_2+_1,3.616,-0.3324,0.763,0.677,0.121,96.4,0.061,0.151667785,68.38333333,21.667,3.791,11.783
Shakira,Shakira45,03/11/2016,45,0311_halfspeed_1,gain_manip,T2C1,03/11/2016,91.4,2,1,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0311_3+_2+_1,2.411,-0.3342,0.689,0.726,0.175,97.01,0.671,0.129945165,68.62333333,32.393,2.555,17.931
Bjork,Bjork3,02/24/2016,3,0224_halfspeed_1,gain_manip,T1C3,02/24/2016,61,1,3,normal,Z:\Users\MCampbell\Analysis\Bjork\OF\databaseFiles\Bjork\OF\0224_1,0.469,-0.3351,0.203,0.433,0.254,99.68,0.224,0.169279411,31.18,11.753,0.522,1.91
Winehouse,Winehouse23,11/16/2015,23,1116_halfspeed_1,gain_manip,T1C2,11/16/2015,62,1,2,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1116_smallbox_5+_4+_3+_2+_1,1.922,-0.3366,0.848,0.78,0.191,97.92,0.423,0.049804649,36.36333333,11.054,2.529,23.806
LilKim,LilKim118,12/04/2015,118,1203_halfspeed_1,gain_manip,T2C2,12/03/2015,91.4,2,2,normal,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1203_6+_5+_4,1.213,-0.337,0.375,0.123,0.164,94.01,0.281,0.017204113,51.13333333,17.437,1.315,7.643
JLo,JLo8,08/05/2016,8,0805_halfspeed_1,gain_manip,T2C2,08/06/2016,62,2,2,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0806_1,0.924,-0.3474,1.017,0.821,0.225,96,-0.006,0.043291818,31.63666667,10.742,0.958,6.137
Christina,Christina6,08/15/2016,6,0815_halfspeed_1,gain_manip,T2C2,08/15/2016,62,2,2,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0815_1,9.509,-0.3501,0.223,0.303,0.05,93.44,0.494,0.537912284,42.95333333,11.753,10.71,14.987
Erykah,Erykah81,07/24/2015,81,0724_halfspeed_1,gain_manip,T2C1,07/24/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Erykah\OF\databaseFiles\Erykah\OF\0724_4+_3+_2+_1,10.752,-0.3511,0.206,0.277,0.035,92.59,0.481,-0.021515419,43.24333333,16.812,10.743,16.891
Beyonce,Beyonce98,10/15/2015,98,1015_halfspeed_1,gain_manip,T2C2,10/15/2015,91.4,2,2,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1015_4+_3+_2+_1,4.709,-0.3524,0.52,0.544,0.102,95.54,0.159,0.135769361,57.06666667,19.128,5.222,16.512
Shakira,Shakira87,03/21/2016,87,0321_halfspeed_1,gain_manip,T1C4,03/21/2016,91.4,1,4,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0321_4+_3+_2+_1,0.846,-0.3548,0.499,0.55,0.143,95.65,0.192,0.037543706,42.94333333,24.83,0.91,5.138
Winehouse,Winehouse36,11/17/2015,36,1117_halfspeed_1,gain_manip,T2C9,11/17/2015,62,2,9,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1117_smallbox_5+_4+_3+_2+_1,1.244,-0.357,0.526,0.327,0.085,96,0.472,0.085959402,39.41,13.519,1.403,3.591
Winehouse,Winehouse55,11/21/2015,55,1121_halfspeed_2,gain_manip,T2C5,11/21/2015,70,2,5,noobject2,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1121_noobject2_smallbox_1,4.491,-0.3571,0.846,0.703,0.091,98.85,-0.179,0.123579929,43.39,13.206,5.048,19.231
